user_id,ad_version,clicked,device_type,region,gender,age_group,conversion,date
1,Mahira,1,Tablet,Islamabad,Male,18-24,0,9/26/2025
2,Mahira,0,Mobile,Islamabad,Male,25-34,0,9/16/2025
3,Babar,0,Mobile,Karachi,Female,35-44,0,9/14/2025
4,Mahira,0,Desktop,Islamabad,Male,35-44,0,9/12/2025
5,Mahira,0,Tablet,Islamabad,Female,25-34,0,9/14/2025
6,Mahira,1,Desktop,Islamabad,Male,35-44,0,9/18/2025
7,Babar,0,Tablet,Lahore,Female,35-44,0,9/8/2025
8,Babar,0,Tablet,Lahore,Male,18-24,0,9/27/2025
9,Mahira,0,Desktop,Lahore,Female,25-34,0,9/2/2025
10,Babar,0,Desktop,Islamabad,Female,35-44,0,9/27/2025
11,Babar,0,Mobile,Lahore,Male,25-34,0,9/12/2025
12,Mahira,0,Tablet,Lahore,Male,18-24,0,9/3/2025
13,Babar,0,Mobile,Karachi,Male,18-24,0,9/22/2025
14,Mahira,1,Tablet,Karachi,Female,25-34,0,9/1/2025
15,Babar,0,Mobile,Karachi,Male,35-44,0,9/26/2025
16,Babar,0,Tablet,Lahore,Male,18-24,0,9/20/2025
17,Babar,0,Tablet,Islamabad,Male,35-44,0,9/23/2025
18,Mahira,0,Desktop,Lahore,Male,25-34,0,9/30/2025
19,Babar,0,Mobile,Islamabad,Male,35-44,0,9/9/2025
20,Mahira,0,Mobile,Lahore,Female,35-44,0,9/27/2025
21,Babar,0,Mobile,Lahore,Female,18-24,0,9/1/2025
22,Mahira,0,Desktop,Islamabad,Female,18-24,0,9/17/2025
23,Mahira,0,Desktop,Islamabad,Male,35-44,0,9/12/2025
24,Babar,0,Tablet,Lahore,Female,18-24,0,9/7/2025
25,Mahira,0,Desktop,Lahore,Male,35-44,0,9/25/2025
26,Mahira,0,Mobile,Lahore,Female,18-24,0,9/13/2025
27,Babar,0,Tablet,Lahore,Male,18-24,0,9/28/2025
28,Babar,0,Mobile,Islamabad,Female,25-34,0,9/29/2025
29,Babar,0,Mobile,Islamabad,Female,35-44,0,9/4/2025
